name,barcode,order,quantity,
41205-NN40000-40,8592165108810,from stock,0,
41205-NN40000-41,8592165108827,from stock,0,
41205-NN40000-42,8592165108834,from stock,0,
41205-NN40000-43,8592165108841,from stock,0,
BET-1289627 053:50,8592165115993,from stock,0,
CST-1041:14.2,8592165107042,from stock,0,
CST-1042:14.2,8592165106779,from stock,0,
CST-1120:11.2,8592165106724,from stock,0,
CST-1120:12.2,8592165106816,from stock,0,
CST-1120:13.2,8592165106564,from stock,0,
CST-1120:14.2,8592165106939,from stock,0,
CST-1120:15.2,8592165107004,from stock,0,
CST-1126:16.2,8592165105871,from stock,0,
CST-1127:12.2,8592165107127,from stock,0,
CST-1127:13.1,8592165107110,from stock,0,
CST-1127:13.2,8592165112206,from stock,0,
CST-1127:14.2,8592165106953,from stock,0,
CST-1127:15.2,8592165106861,from stock,0,
CST-1128:11.2,8592165106373,from stock,0,
CST-1128:12.2,8592165106625,from stock,0,
CST-1128:13.2,8592165107028,from stock,0,
CST-1128:14.2,8592165106380,from stock,0,
CST-1128:15.2,8592165105888,from stock,0,
CST-1180:17.2,8592165028903,from stock,0,
CST-1180:18.2,8592165028910,from stock,0,
CST-1180:19.2,8592165028927,from stock,0,
CST-1182:14.2,8592165093505,from stock,0,
CST-1182:15.2,8592165115603,from stock,0,
CST-1183:17.2,8592165106632,from stock,0,
CST-1183:18.2,8592165086712,from stock,0,
CST-1183:19.2,8592165106397,from stock,0,
CST-1256:13.1,8592165017006,from stock,0,
CST-1256:14.1,8592165015644,from stock,0,
CST-1256:15.1,8592165015651,from stock,0,
CST-1256:16.1,8592165044118,from stock,0,
CST-1257:15.1,8592165120874,from stock,0,
CST-1263:13.1,8592165092652,from stock,0,
CST-1263:14.1,8592165092980,from stock,0,
CST-1263:15.1,8592165092669,from stock,0,
CST-1263:16.1,8592165092997,from stock,0,
CST-1264:14.1,8592165093000,from stock,0,
CST-1264:15.1,8592165100456,from stock,0,
CST-1264:16.1,8592165093109,from stock,0,
CST-1264:17.1,8592165093017,from stock,0,
CST-1269:14.2,8592165106403,from stock,0,
CST-1269:15.2,8592165106977,from stock,0,
CST-1269:16.2,8592165027807,from stock,0,
CST-1295:13.2,8592165066844,from stock,0,
CST-1295:14.2,8592165066851,from stock,0,
CST-1295:15.2,8592165038988,from stock,0,
CST-1307:13.2,8592165066905,from stock,0,
CST-1307:14.2,8592165031859,from stock,0,
CST-1307:15.2,8592165052991,from stock,0,
CST-1307:16.2,8592165053004,from stock,0,
CST-1309:14.1,8592165092676,from stock,0,
CST-1309:15.1,8592165120942,from stock,0,
CST-1310:15.1,8592165120881,from stock,0,
CST-1321:12.1,8592165073286,from stock,0,
CST-1321:13.1,8592165017013,from stock,0,
CST-1321:14.1,8592165119847,from stock,0,
CST-1322:13.2,8592165073293,from stock,0,
CST-1322:14.2,8592165066936,from stock,0,
CST-1322:15.1,8592165054612,from stock,0,
CST-1322:15.2,8592165056517,from stock,0,
CST-1323:12.1,8592165015668,from stock,0,
CST-1323:13.1,8592165015675,from stock,0,
CST-1323:14.1,8592165015682,from stock,0,
CST-1332:15.2,8592165100470,from stock,0,
CST-1352:13.1,8592165038995,from stock,0,
